timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2021/10/24 12:30:26, 17.74, 50.89, 1007.77, 1.17, 303, 
2021/10/24 12:30:27, 17.74, 50.91, 1007.76, 1.17, 293, 
2021/10/24 12:30:28, 17.73, 50.91, 1007.74, 1.17, 286, 
2021/10/24 12:30:29, 17.74, 50.89, 1007.77, 1.17, 283, 
2021/10/24 12:30:30, 17.74, 50.86, 1007.74, 0.95, 282, 
2021/10/24 12:30:31, 17.75, 50.84, 1007.75, 0.73, 282, 
2021/10/24 12:30:32, 17.76, 50.82, 1007.79, 1.17, 282, 
2021/10/24 12:30:33, 17.75, 50.82, 1007.76, 1.17, 283, 
2021/10/24 12:30:34, 17.74, 50.82, 1007.75, 0.95, 282, 
2021/10/24 12:30:35, 17.75, 50.83, 1007.75, 0.95, 282, 
2021/10/24 12:30:36, 17.75, 50.85, 1007.77, 0.73, 282, 
2021/10/24 12:30:37, 17.75, 50.86, 1007.79, 0.95, 282, 
2021/10/24 12:30:38, 17.74, 50.87, 1007.76, 0.73, 280, 
2021/10/24 12:30:39, 17.74, 50.86, 1007.76, 0.95, 282, 
2021/10/24 12:30:40, 17.75, 50.86, 1007.75, 0.51, 281, 
2021/10/24 12:30:41, 17.75, 50.86, 1007.76, 0.51, 282, 
2021/10/24 12:30:42, 17.75, 50.89, 1007.76, 0.51, 282, 
2021/10/24 12:30:43, 17.75, 50.90, 1007.75, 0.51, 281, 
2021/10/24 12:30:44, 17.74, 50.90, 1007.73, 0.51, 281, 
2021/10/24 12:30:45, 17.75, 50.92, 1007.76, 0.51, 281, 
2021/10/24 12:30:49, 17.76, 50.94, 1007.72, 0.07, 281, 
2021/10/24 12:30:50, 17.77, 50.94, 1007.78, 0.51, 280, 
2021/10/24 12:30:51, 17.77, 50.95, 1007.78, 0.51, 282, 
2021/10/24 12:30:52, 17.76, 50.95, 1007.76, 0.51, 281, 
2021/10/24 12:30:53, 17.78, 50.96, 1007.77, 0.51, 280, 
2021/10/24 12:30:54, 17.77, 50.98, 1007.76, 0.51, 281, 
2021/10/24 12:30:55, 17.78, 50.98, 1007.78, 0.51, 280, 
2021/10/24 12:30:56, 17.77, 51.00, 1007.77, 0.73, 281, 
2021/10/24 12:30:57, 17.77, 51.00, 1007.74, 1.17, 281, 
2021/10/24 12:30:58, 17.77, 50.99, 1007.77, 1.17, 281, 
2021/10/24 12:30:59, 17.77, 50.89, 1007.76, 1.61, 282, 
2021/10/24 12:31:0, 17.77, 50.75, 1007.73, 1.61, 285, 
2021/10/24 12:31:2, 17.77, 50.58, 1007.76, 1.61, 306, 
2021/10/24 12:31:3, 17.75, 50.47, 1007.73, 1.61, 307, 
2021/10/24 12:31:4, 17.74, 50.48, 1007.71, 1.61, 307, 
2021/10/24 12:31:5, 17.73, 50.51, 1007.71, 1.61, 305, 
2021/10/24 12:31:6, 17.72, 50.50, 1007.72, 1.83, 306, 
2021/10/24 12:31:7, 17.71, 50.54, 1007.76, 2.05, 305, 
2021/10/24 12:31:8, 17.69, 50.59, 1007.71, 1.39, 318, 
2021/10/24 12:31:9, 17.69, 50.64, 1007.71, 1.17, 318, 
2021/10/24 12:31:10, 17.67, 50.67, 1007.69, 1.17, 317, 
2021/10/24 12:31:11, 17.67, 50.73, 1007.69, 0.73, 316, 
2021/10/24 12:31:12, 17.67, 50.77, 1007.74, 0.73, 319, 
2021/10/24 12:31:13, 17.64, 50.79, 1007.72, 1.17, 334, 
2021/10/24 12:31:14, 17.64, 50.78, 1007.73, 1.61, 344, 
2021/10/24 12:31:15, 17.62, 50.73, 1007.73, 1.39, 353, 
2021/10/24 12:31:16, 17.59, 50.84, 1007.73, 1.17, 355, 
2021/10/24 12:31:17, 17.57, 50.95, 1007.74, 1.17, 354, 
2021/10/24 12:31:18, 17.56, 51.01, 1007.73, 1.17, 355, 
2021/10/24 12:31:19, 17.55, 51.06, 1007.72, 0.73, 354, 
2021/10/24 12:31:20, 17.55, 51.08, 1007.73, 0.51, 353, 
2021/10/24 12:31:21, 17.53, 51.13, 1007.75, 0.51, 354, 
2021/10/24 12:31:22, 17.52, 51.17, 1007.75, 0.51, 354, 
2021/10/24 12:31:23, 17.50, 51.19, 1007.73, 0.29, 355, 
2021/10/24 12:31:24, 17.49, 51.21, 1007.72, 0.07, 355, 
2021/10/24 12:31:25, 17.47, 51.22, 1007.79, 0.07, 356, 
2021/10/24 12:31:26, 17.44, 51.20, 1007.75, 0.07, 355, 
2021/10/24 12:31:27, 17.44, 51.20, 1007.77, 0.07, 355, 
2021/10/24 12:31:28, 17.42, 51.20, 1007.74, 0.07, 356, 
2021/10/24 12:31:29, 17.40, 51.18, 1007.77, 0.00, 357, 
2021/10/24 12:31:30, 17.40, 51.16, 1007.77, 0.00, 355, 
2021/10/24 12:31:31, 17.38, 51.13, 1007.74, 0.00, 356, 
2021/10/24 12:31:32, 17.38, 51.11, 1007.77, 0.00, 357, 
2021/10/24 12:31:33, 17.36, 51.13, 1007.75, 0.00, 356, 
2021/10/24 12:31:34, 17.36, 51.15, 1007.76, 0.00, 356, 
2021/10/24 12:31:35, 17.35, 51.17, 1007.76, 0.00, 355, 
2021/10/24 12:31:36, 17.34, 51.20, 1007.74, 0.00, 356, 
2021/10/24 12:31:45, 17.34, 51.35, 1007.75, 0.00, 356, 
2021/10/24 12:31:46, 17.35, 51.35, 1007.77, 0.00, 355, 
2021/10/24 12:31:47, 17.34, 51.35, 1007.77, 0.00, 355, 
2021/10/24 12:31:48, 17.34, 51.35, 1007.74, 0.00, 356, 
2021/10/24 12:31:49, 17.34, 51.35, 1007.74, 0.00, 357, 
2021/10/24 12:31:50, 17.35, 51.35, 1007.75, 0.00, 356, 
2021/10/24 12:31:51, 17.35, 51.36, 1007.76, 0.00, 355, 
2021/10/24 12:31:52, 17.35, 51.37, 1007.78, 0.00, 356, 
2021/10/24 12:31:53, 17.36, 51.38, 1007.75, 0.00, 356, 
2021/10/24 12:31:54, 17.36, 51.36, 1007.77, 0.00, 355, 
2021/10/24 12:31:55, 17.36, 51.35, 1007.74, 0.00, 356, 
2021/10/24 12:31:56, 17.35, 51.33, 1007.74, 0.00, 355, 
2021/10/24 12:31:57, 17.35, 51.31, 1007.73, 0.00, 354, 
2021/10/24 12:31:58, 17.36, 51.27, 1007.77, 0.00, 355, 
2021/10/24 12:31:59, 17.35, 51.26, 1007.76, 0.00, 355, 
2021/10/24 12:32:0, 17.35, 51.28, 1007.74, 0.00, 356, 
2021/10/24 12:32:1, 17.35, 51.30, 1007.76, 0.00, 356, 
2021/10/24 12:32:2, 17.34, 51.32, 1007.75, 0.00, 357, 
2021/10/24 12:32:3, 17.35, 51.34, 1007.77, 0.00, 356, 
2021/10/24 12:32:4, 17.35, 51.35, 1007.75, 0.00, 356, 
2021/10/24 12:32:5, 17.35, 51.36, 1007.74, 0.00, 354, 
2021/10/24 12:32:6, 17.35, 51.38, 1007.73, 0.00, 355, 
2021/10/24 12:32:7, 17.35, 51.40, 1007.75, 0.00, 355, 
2021/10/24 12:32:8, 17.35, 51.42, 1007.74, 0.00, 356, 
2021/10/24 12:32:9, 17.35, 51.43, 1007.75, 0.00, 355, 
2021/10/24 12:32:10, 17.35, 51.46, 1007.74, 0.00, 355, 
2021/10/24 12:32:11, 17.36, 51.48, 1007.75, 0.00, 356, 
2021/10/24 12:32:12, 17.36, 51.51, 1007.75, 0.00, 354, 
2021/10/24 12:32:13, 17.38, 51.51, 1007.76, 0.00, 355, 
2021/10/24 12:32:14, 17.38, 51.55, 1007.77, 0.00, 354, 
2021/10/24 12:32:15, 17.39, 51.59, 1007.77, 0.00, 356, 
2021/10/24 12:32:16, 17.39, 51.59, 1007.77, 0.00, 355, 
2021/10/24 12:32:17, 17.39, 51.59, 1007.78, 0.00, 356, 
2021/10/24 12:32:18, 17.40, 51.59, 1007.77, 0.00, 355, 
2021/10/24 12:32:19, 17.41, 51.60, 1007.78, 0.00, 357, 
2021/10/24 12:32:20, 17.41, 51.61, 1007.77, 0.00, 355, 
2021/10/24 12:32:21, 17.42, 51.62, 1007.77, 0.00, 356, 
2021/10/24 12:32:22, 17.43, 51.64, 1007.72, 0.00, 355, 
2021/10/24 12:32:23, 17.44, 51.66, 1007.78, 0.00, 354, 
2021/10/24 12:32:24, 17.44, 51.67, 1007.76, 0.00, 355, 
2021/10/24 12:32:25, 17.45, 51.66, 1007.75, 0.00, 356, 
2021/10/24 12:32:33, 17.50, 51.65, 1007.72, 0.00, 356, 
2021/10/24 12:32:34, 17.51, 51.55, 1007.73, 0.00, 357, 
2021/10/24 12:32:35, 17.50, 51.48, 1007.72, 0.00, 356, 
2021/10/24 12:32:36, 17.52, 51.45, 1007.71, 0.00, 355, 
2021/10/24 12:32:37, 17.52, 51.41, 1007.76, 0.00, 356, 
2021/10/24 12:32:38, 17.52, 51.38, 1007.75, 0.00, 355, 
2021/10/24 12:32:46, 17.52, 51.21, 1007.73, 0.00, 355, 
2021/10/24 12:32:47, 17.52, 51.21, 1007.72, 0.00, 355, 
2021/10/24 12:32:48, 17.53, 51.23, 1007.73, 0.00, 355, 
2021/10/24 12:32:49, 17.53, 51.24, 1007.74, 0.00, 355, 
2021/10/24 12:32:50, 17.53, 51.27, 1007.72, 0.00, 355, 
2021/10/24 12:32:51, 17.54, 51.29, 1007.74, 0.00, 357, 
2021/10/24 12:32:52, 17.54, 51.31, 1007.75, 0.00, 357, 
2021/10/24 12:32:53, 17.55, 51.33, 1007.75, 0.00, 355, 
2021/10/24 12:32:54, 17.55, 51.33, 1007.77, 0.00, 354, 
2021/10/24 12:32:55, 17.57, 51.31, 1007.75, 0.00, 352, 
2021/10/24 12:32:56, 17.57, 51.31, 1007.74, 0.00, 354, 
2021/10/24 12:32:57, 17.57, 51.30, 1007.74, 0.00, 354, 
2021/10/24 12:32:58, 17.58, 51.25, 1007.76, 0.00, 354, 
2021/10/24 12:32:59, 17.58, 51.22, 1007.76, 0.00, 354, 
2021/10/24 12:33:0, 17.58, 51.19, 1007.74, 0.00, 353, 
2021/10/24 12:33:1, 17.59, 51.20, 1007.76, 0.00, 353, 
2021/10/24 12:33:2, 17.59, 51.22, 1007.75, 0.00, 354, 
