timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
MQTT --- 2021/10/24__11:3:23, 13.16, 71.22, 1008.00, 0.51, 180, 
MQTT --- 2021/10/24__11:3:24, 13.16, 71.22, 1007.99, 0.51, 180, 
MQTT --- 2021/10/24__11:3:25, 13.17, 71.21, 1008.00, 0.51, 180, 
MQTT --- 2021/10/24__11:3:26, 13.16, 71.21, 1007.99, 0.51, 180, 
MQTT --- 2021/10/24__11:3:27, 13.17, 71.20, 1008.01, 0.51, 180, 
MQTT --- 2021/10/24__11:3:28, 13.17, 71.19, 1007.98, 0.51, 180, 
MQTT --- 2021/10/24__11:3:29, 13.17, 71.18, 1007.98, 0.51, 180, 
MQTT --- 2021/10/24__11:3:30, 13.16, 71.18, 1007.98, 0.73, 180, 
MQTT --- 2021/10/24__11:3:31, 13.17, 71.17, 1007.99, 0.73, 180, 
MQTT --- 2021/10/24__11:3:32, 13.17, 71.16, 1008.01, 0.51, 180, 
MQTT --- 2021/10/24__11:3:33, 13.18, 71.15, 1007.99, 0.51, 180, 
MQTT --- 2021/10/24__11:3:34, 13.17, 71.14, 1007.97, 0.29, 180, 
MQTT --- 2021/10/24__11:3:35, 13.17, 71.14, 1007.98, 0.07, 180, 
MQTT --- 2021/10/24__11:3:36, 13.17, 71.13, 1007.97, 0.07, 180, 
MQTT --- 2021/10/24__11:3:37, 13.18, 71.12, 1007.96, 0.29, 180, 
MQTT --- 2021/10/24__11:3:38, 13.18, 71.12, 1007.99, 0.29, 180, 
MQTT --- 2021/10/24__11:3:39, 13.18, 71.10, 1007.95, 0.29, 180, 
MQTT --- 2021/10/24__11:3:40, 13.18, 71.08, 1007.95, 0.29, 180, 
MQTT --- 2021/10/24__11:3:41, 13.18, 71.08, 1007.99, 0.29, 180, 
MQTT --- 2021/10/24__11:3:42, 13.19, 71.08, 1007.99, 0.07, 180, 
MQTT --- 2021/10/24__11:3:43, 13.19, 71.08, 1007.96, 0.07, 180, 
MQTT --- 2021/10/24__11:3:44, 13.19, 71.07, 1007.95, 0.07, 180, 
MQTT --- 2021/10/24__11:3:45, 13.20, 71.06, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:3:46, 13.19, 71.06, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:3:47, 13.19, 71.04, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:3:48, 13.20, 71.04, 1007.96, 0.00, 180, 
MQTT --- 2021/10/24__11:3:49, 13.20, 71.04, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:3:50, 13.20, 71.05, 1007.99, 0.00, 180, 
MQTT --- 2021/10/24__11:3:51, 13.20, 71.04, 1008.01, 0.00, 180, 
MQTT --- 2021/10/24__11:3:52, 13.20, 71.04, 1008.00, 0.00, 180, 
MQTT --- 2021/10/24__11:3:53, 13.20, 71.04, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:3:54, 13.20, 71.04, 1008.00, 0.00, 180, 
MQTT --- 2021/10/24__11:3:55, 13.20, 71.05, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:3:56, 13.22, 71.04, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:3:57, 13.22, 71.05, 1008.00, 0.00, 180, 
MQTT --- 2021/10/24__11:3:58, 13.22, 71.05, 1007.99, 0.00, 180, 
MQTT --- 2021/10/24__11:3:59, 13.21, 71.06, 1007.96, 0.00, 180, 
MQTT --- 2021/10/24__11:4:0, 13.21, 71.06, 1007.96, 0.00, 180, 
MQTT --- 2021/10/24__11:4:1, 13.21, 71.06, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:4:2, 13.22, 71.06, 1008.01, 0.00, 180, 
MQTT --- 2021/10/24__11:4:3, 13.21, 71.06, 1007.94, 0.00, 180, 
MQTT --- 2021/10/24__11:4:4, 13.22, 71.06, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:4:5, 13.22, 71.06, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:4:6, 13.22, 71.06, 1007.95, 0.00, 180, 
MQTT --- 2021/10/24__11:4:7, 13.23, 71.06, 1008.05, 0.00, 180, 
MQTT --- 2021/10/24__11:4:8, 13.23, 71.05, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:4:9, 13.22, 71.05, 1008.03, 0.00, 180, 
MQTT --- 2021/10/24__11:4:10, 13.22, 71.05, 1007.96, 0.00, 180, 
MQTT --- 2021/10/24__11:4:11, 13.23, 71.05, 1008.01, 0.00, 180, 
MQTT --- 2021/10/24__11:4:12, 13.23, 71.05, 1007.96, 0.00, 180, 
MQTT --- 2021/10/24__11:4:13, 13.22, 71.04, 1007.96, 0.00, 180, 
MQTT --- 2021/10/24__11:4:14, 13.22, 71.04, 1008.00, 0.00, 180, 
MQTT --- 2021/10/24__11:4:15, 13.23, 71.04, 1008.00, 0.00, 180, 
MQTT --- 2021/10/24__11:4:16, 13.22, 71.04, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:4:17, 13.23, 71.04, 1008.00, 0.00, 180, 
MQTT --- 2021/10/24__11:4:18, 13.24, 71.04, 1007.99, 0.00, 180, 
MQTT --- 2021/10/24__11:4:19, 13.23, 71.03, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:4:20, 13.24, 71.04, 1008.00, 0.00, 180, 
MQTT --- 2021/10/24__11:4:21, 13.23, 71.04, 1007.99, 0.00, 180, 
MQTT --- 2021/10/24__11:4:22, 13.24, 71.05, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:4:23, 13.24, 71.07, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:4:24, 13.24, 71.07, 1007.96, 0.07, 180, 
MQTT --- 2021/10/24__11:4:25, 13.24, 71.07, 1008.00, 0.29, 180, 
MQTT --- 2021/10/24__11:4:26, 13.23, 71.06, 1007.96, 0.07, 180, 
MQTT --- 2021/10/24__11:4:27, 13.24, 71.06, 1007.97, 0.51, 180, 
MQTT --- 2021/10/24__11:4:28, 13.23, 71.06, 1007.99, 0.51, 185, 
MQTT --- 2021/10/24__11:4:29, 13.23, 71.06, 1007.99, 0.51, 185, 
MQTT --- 2021/10/24__11:4:30, 13.24, 71.04, 1007.98, 0.51, 185, 
MQTT --- 2021/10/24__11:4:31, 13.24, 71.04, 1007.98, 0.07, 225, 
MQTT --- 2021/10/24__11:4:32, 13.24, 71.04, 1007.97, 0.07, 230, 
MQTT --- 2021/10/24__11:4:33, 13.24, 71.03, 1007.96, 0.07, 225, 
MQTT --- 2021/10/24__11:4:34, 13.25, 71.02, 1007.97, 0.29, 180, 
MQTT --- 2021/10/24__11:4:35, 13.25, 71.02, 1008.00, 0.29, 180, 
MQTT --- 2021/10/24__11:4:36, 13.25, 71.01, 1007.99, 0.07, 187, 
MQTT --- 2021/10/24__11:4:37, 13.24, 71.02, 1007.96, 0.07, 45, 
MQTT --- 2021/10/24__11:4:38, 13.24, 71.02, 1007.97, 0.29, 45, 
MQTT --- 2021/10/24__11:4:39, 13.25, 71.02, 1007.97, 0.07, 230, 
MQTT --- 2021/10/24__11:4:40, 13.24, 71.01, 1007.98, 0.07, 230, 
MQTT --- 2021/10/24__11:4:41, 13.25, 71.01, 1007.98, 0.07, 225, 
MQTT --- 2021/10/24__11:4:42, 13.25, 71.02, 1007.99, 0.07, 0, 
MQTT --- 2021/10/24__11:4:43, 13.26, 71.01, 1008.00, 0.29, 230, 
MQTT --- 2021/10/24__11:4:44, 13.25, 71.00, 1007.97, 0.07, 188, 
